,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
betam,1.5420293531333158,0.003720947409246147,0.04266522312564833,1.4682887474234672,1.5154107416282827,1.5440985170510928,1.5716408574818752,1.6193131281201927,131.47433373485669,1.0057852285039235
betasd,0.34989823155085714,0.0025759121910996887,0.031981432339622314,0.2947859004280371,0.3283590234286548,0.35079812594256865,0.37085289151378764,0.4126206723179843,154.14651547484954,1.0062106929654924
beta_sd_m,0.6471282571285064,0.0011758136419325945,0.021440780865434196,0.6031754685158425,0.6335150380211132,0.6458574978835943,0.6622523548767985,0.6887882037530848,332.509614229618,1.0028524718944845
beta_sd_sd,0.19163853052959207,0.0007645209834546747,0.016322321846481216,0.1623853192308987,0.17969601987079126,0.19233038188891263,0.20146821560130473,0.22524078038028902,455.81126543083707,0.9988629087629973
alpham,0.41161582754863485,0.0007992150238713931,0.018099581134153428,0.3731321866304016,0.4004011732928464,0.4107140082910742,0.42356195876284325,0.4472409307048457,512.872921885954,1.0035814373157437
alphasd,0.1718995044572278,0.0007817800093600145,0.013516589775988873,0.1471026786618674,0.16283003134498217,0.1718840481412314,0.1802783326127485,0.20174797580688264,298.9270006277694,0.9990862417474773
alpha_sd_m,0.1746297007191838,0.0006847718195388169,0.009215357305401376,0.15643097417949064,0.16875331168969684,0.17365710552879074,0.18103205487704987,0.19325552609330257,181.10589983634827,0.9987866790850178
alpha_sd_sd,0.07874187409912384,0.0005886284876109968,0.007056018651214725,0.06554655632157896,0.07418728487530288,0.078420257763163,0.08308847865712242,0.0938097065543485,143.69342182146212,1.0006811233727986
staym,0.3507221316817877,0.001471135762042148,0.01752883407923939,0.3177277710182796,0.3386593414500966,0.35088166629572914,0.3625431575551616,0.3845435926127797,141.97129850609502,1.0040186851651467
staysd,0.1562059770138843,0.001133440625422341,0.014756621261327074,0.12771424819099192,0.14635152907653784,0.15597239652164316,0.16685589772982584,0.1849354430175765,169.50257972831125,1.0152285722286962
stay_sd_m,0.34143138250007665,0.0003762088812953329,0.009653579082789212,0.32282277548747723,0.33495809869122095,0.34150374899798724,0.34783227447990156,0.36073228532471363,658.4436741741168,0.9987257666245162
stay_sd_sd,0.08320663406738653,0.0003800274464226404,0.00765544382592508,0.06827909918003172,0.07799908304780709,0.08360474830384687,0.08800733424642171,0.0978468546020613,405.79885868211255,1.000364416395351
sidem,0.017757120723088132,0.0014075880850702401,0.02119341078191131,-0.02331940647658047,0.0010577879364272874,0.01757875872186652,0.03269676972515971,0.05801517468979334,226.69949251831977,1.0156809770859891
sidesd,0.20594645645737417,0.0009504259842434968,0.01854284884946548,0.17402095287827052,0.1922207922485069,0.20636114535326822,0.21740657306426184,0.24441492108067014,380.64165586820286,1.0065264745531668
side_sd_m,0.3260727690905189,0.00047937053194221934,0.009867872471271508,0.30482844612869414,0.319806094954931,0.3255572333922586,0.3325146569537615,0.3464561133609859,423.74480762615804,1.0047731488928908
side_sd_sd,0.08074089449856352,0.000655371187857967,0.007836864384961773,0.06769370578994222,0.0750826033351507,0.0802981033781466,0.08619182996218039,0.09681630441950312,142.99141830506906,1.001943595331668
beta_mice_m[1],1.293337139026011,0.002915369440761879,0.070911428897705,1.1538072277198166,1.2490798871267688,1.2916205393274631,1.3366951665499203,1.4475524686983297,591.6233130017343,1.001278302227883
beta_mice_m[2],1.2989389949418457,0.004612066964267763,0.07630488714273102,1.1441742264381902,1.2432294333260026,1.2974875560336927,1.348872252339757,1.4613309107016468,273.7243921448976,1.010454381921306
beta_mice_m[3],1.016287808855261,0.004588162328059616,0.07875157441610262,0.8553002884446319,0.9621054043166813,1.0215952312442522,1.063339679652208,1.182264762112672,294.6055611748179,1.0008451028666505
beta_mice_m[4],2.1394063977190085,0.007904040101366128,0.10378890829282911,1.961347931641193,2.057321117024772,2.1423251208528313,2.20992909065596,2.3410373436087304,172.42634314550847,1.009538229530015
