name,est,tstat,pvals,ci1,ci2
Name,β±standard error,"t-stat(1,817473)",p-value,lower,upper
(Intercept),0.030±0.02,"1.28",0.20,-0.02,0.07
trial,0.018±0.01,"2.05",0.04,0.00,0.03
female_0,-0.031±0.02,"-1.36",0.17,-0.08,0.01
qDiff_quant_choice_1,1.869±0.05,"34.42",1.92e-259,1.76,1.98
qDiff_quant_choice_2,1.527±0.05,"29.88",5.17e-196,1.43,1.63
qDiff_quant_choice_3,0.829±0.02,"37.50",1.93e-307,0.79,0.87
qDiff_quant_choice_4,0.260±0.01,"18.19",6.28e-74,0.23,0.29
qDiff_quant_choice_5,-0.045±0.01,"-3.74",1.84e-04,-0.07,-0.02
qDiff_quant_choice_6,-0.312±0.02,"-16.86",8.82e-64,-0.35,-0.28
qDiff_quant_choice_7,-0.858±0.02,"-35.96",6.25e-283,-0.90,-0.81
qDiff_quant_choice_8,-1.500±0.05,"-30.09",9.20e-199,-1.60,-1.40
trial:female_0,-0.009±0.01,"-1.06",0.29,-0.03,0.01
trial:qDiff_quant_choice_1,0.200±0.02,"9.88",5.03e-23,0.16,0.24
trial:qDiff_quant_choice_2,0.180±0.02,"11.18",5.37e-29,0.15,0.21
trial:qDiff_quant_choice_3,0.058±0.01,"5.57",2.54e-08,0.04,0.08
trial:qDiff_quant_choice_4,0.003±0.01,"0.32",0.75,-0.02,0.02
trial:qDiff_quant_choice_5,-0.008±0.01,"-0.90",0.37,-0.02,0.01
trial:qDiff_quant_choice_6,-0.043±0.01,"-5.03",4.88e-07,-0.06,-0.03
trial:qDiff_quant_choice_7,-0.090±0.01,"-8.69",3.58e-18,-0.11,-0.07
trial:qDiff_quant_choice_8,-0.163±0.02,"-9.44",3.78e-21,-0.20,-0.13
female_0:qDiff_quant_choice_1,-0.048±0.05,"-0.88",0.38,-0.15,0.06
female_0:qDiff_quant_choice_2,-0.018±0.05,"-0.35",0.73,-0.12,0.08
female_0:qDiff_quant_choice_3,-0.013±0.02,"-0.57",0.57,-0.06,0.03
female_0:qDiff_quant_choice_4,0.010±0.01,"0.70",0.49,-0.02,0.04
female_0:qDiff_quant_choice_5,0.015±0.01,"1.26",0.21,-0.01,0.04
female_0:qDiff_quant_choice_6,0.029±0.02,"1.56",0.12,-0.01,0.07
female_0:qDiff_quant_choice_7,-0.004±0.02,"-0.16",0.87,-0.05,0.04
female_0:qDiff_quant_choice_8,0.001±0.05,"0.01",0.99,-0.10,0.10
trial:female_0:qDiff_quant_choice_1,-0.007±0.02,"-0.32",0.75,-0.05,0.03
trial:female_0:qDiff_quant_choice_2,-0.034±0.02,"-2.11",0.03,-0.07,-0.00
trial:female_0:qDiff_quant_choice_3,-0.004±0.01,"-0.39",0.69,-0.02,0.02
trial:female_0:qDiff_quant_choice_4,-0.002±0.01,"-0.21",0.83,-0.02,0.02
trial:female_0:qDiff_quant_choice_5,0.009±0.01,"1.05",0.30,-0.01,0.03
trial:female_0:qDiff_quant_choice_6,0.003±0.01,"0.36",0.72,-0.01,0.02
trial:female_0:qDiff_quant_choice_7,0.007±0.01,"0.64",0.52,-0.01,0.03
trial:female_0:qDiff_quant_choice_8,0.012±0.02,"0.70",0.49,-0.02,0.05
