name,est,tstat,pvals,ci1,ci2
Name,β±standard error,"t-stat(1,225)",p-value,lower,upper
(Intercept),-0.003±0.01,"-0.43",0.67,-0.02,0.01
Sex_0,-0.003±0.01,"-0.53",0.60,-0.02,0.01
Opsin_0,-0.004±0.01,"-0.61",0.54,-0.02,0.01
Value_1,-0.010±0.02,"-0.63",0.53,-0.04,0.02
Value_2,0.017±0.02,"1.10",0.27,-0.01,0.05
Value_3,-0.001±0.01,"-0.09",0.93,-0.03,0.02
Value_4,-0.005±0.01,"-0.36",0.72,-0.03,0.02
Value_5,-0.026±0.02,"-1.58",0.11,-0.06,0.01
Value_6,-0.006±0.02,"-0.41",0.68,-0.04,0.02
Value_7,0.015±0.02,"0.96",0.34,-0.02,0.04
Value_8,0.001±0.02,"0.05",0.96,-0.03,0.03
Sex_0:Opsin_0,-0.001±0.01,"-0.10",0.92,-0.01,0.01
Sex_0:Value_1,-0.012±0.02,"-0.80",0.43,-0.04,0.02
Sex_0:Value_2,0.012±0.02,"0.76",0.45,-0.02,0.04
Sex_0:Value_3,-0.007±0.01,"-0.54",0.59,-0.03,0.02
Sex_0:Value_4,0.022±0.01,"1.48",0.14,-0.01,0.05
Sex_0:Value_5,0.005±0.02,"0.32",0.75,-0.03,0.04
Sex_0:Value_6,0.003±0.02,"0.21",0.83,-0.03,0.03
Sex_0:Value_7,-0.001±0.02,"-0.04",0.97,-0.03,0.03
Sex_0:Value_8,0.001±0.02,"0.04",0.97,-0.03,0.03
Opsin_0:Value_1,0.012±0.02,"0.75",0.45,-0.02,0.04
Opsin_0:Value_2,-0.002±0.02,"-0.11",0.92,-0.03,0.03
Opsin_0:Value_3,0.014±0.01,"1.12",0.26,-0.01,0.04
Opsin_0:Value_4,-0.026±0.01,"-1.72",0.09,-0.05,0.00
Opsin_0:Value_5,0.002±0.02,"0.14",0.89,-0.03,0.03
Opsin_0:Value_6,0.006±0.02,"0.38",0.71,-0.02,0.04
Opsin_0:Value_7,-0.002±0.02,"-0.15",0.88,-0.03,0.03
Opsin_0:Value_8,0.007±0.02,"0.46",0.64,-0.02,0.04
Sex_0:Opsin_0:Value_1,-0.002±0.02,"-0.16",0.88,-0.03,0.03
Sex_0:Opsin_0:Value_2,0.002±0.02,"0.14",0.89,-0.03,0.03
Sex_0:Opsin_0:Value_3,-0.002±0.01,"-0.15",0.88,-0.03,0.02
Sex_0:Opsin_0:Value_4,-0.009±0.01,"-0.61",0.54,-0.04,0.02
Sex_0:Opsin_0:Value_5,0.026±0.02,"1.60",0.11,-0.01,0.06
Sex_0:Opsin_0:Value_6,0.024±0.02,"1.55",0.12,-0.01,0.05
Sex_0:Opsin_0:Value_7,-0.016±0.02,"-1.03",0.30,-0.05,0.01
Sex_0:Opsin_0:Value_8,-0.009±0.02,"-0.59",0.56,-0.04,0.02
