Animal,Sex,alpha,beta_value,beta_stay,beta_side
1,female,0.63±0.00,1.33±0.05,0.50±0.05,-0.18±0.05
2,female,0.66±0.01,1.52±0.07,0.40±0.04,-0.01±0.04
3,female,0.60±0.00,1.00±0.03,0.64±0.05,0.05±0.04
4,female,0.66±0.01,2.27±0.12,0.51±0.05,0.29±0.04
5,female,0.63±0.01,1.49±0.09,0.56±0.10,0.04±0.06
6,female,0.61±0.01,1.77±0.20,-0.04±0.10,-0.29±0.11
7,female,0.51±0.00,1.18±0.10,0.24±0.09,-0.34±0.11
8,female,0.52±0.00,1.31±0.13,0.31±0.15,0.10±0.16
9,female,0.61±0.00,1.28±0.05,0.72±0.06,0.11±0.04
10,female,0.64±0.01,1.52±0.09,0.28±0.08,0.05±0.04
11,female,0.64±0.01,1.87±0.16,0.45±0.04,-0.10±0.06
12,female,0.69±0.01,2.08±0.10,0.54±0.04,-0.28±0.09
13,female,0.75±0.01,1.69±0.10,0.30±0.04,-0.11±0.05
14,female,0.70±0.01,1.96±0.10,0.39±0.05,0.01±0.07
15,female,0.72±0.01,1.96±0.12,0.49±0.04,0.08±0.05
16,female,0.72±0.01,2.19±0.16,0.41±0.08,-0.13±0.05
17,female,0.68±0.01,1.96±0.14,0.45±0.05,0.12±0.07
18,female,0.68±0.01,1.28±0.11,0.70±0.06,-0.12±0.06
19,female,0.66±0.01,2.01±0.21,0.80±0.10,0.17±0.04
20,female,0.71±0.01,1.87±0.12,0.59±0.05,0.06±0.08
21,female,0.56±0.00,1.79±0.10,0.54±0.07,0.23±0.06
22,female,0.74±0.01,2.30±0.17,0.29±0.06,0.31±0.05
23,female,0.75±0.01,2.01±0.10,0.45±0.06,0.14±0.05
24,female,0.61±0.01,1.83±0.11,0.65±0.08,0.49±0.07
25,female,0.79±0.01,2.82±0.25,0.25±0.12,-0.11±0.08
26,female,0.72±0.01,1.91±0.14,0.42±0.10,0.13±0.06
27,female,0.69±0.01,2.33±0.14,0.60±0.08,0.27±0.07
28,female,0.75±0.01,2.26±0.14,0.58±0.09,0.44±0.09
29,female,0.71±0.02,1.85±0.16,0.12±0.08,-0.02±0.10
30,female,0.64±0.01,2.09±0.14,0.52±0.07,0.01±0.07
31,female,0.70±0.01,2.10±0.18,0.58±0.06,0.40±0.06
32,female,0.68±0.01,1.87±0.16,0.63±0.08,-0.08±0.05
33,female,0.71±0.00,1.88±0.22,0.58±0.08,0.21±0.02
34,female,0.61±0.00,1.57±0.13,0.62±0.08,-0.10±0.04
35,female,0.61±0.01,1.65±0.08,0.26±0.05,0.02±0.07
