Animal,Sex,alpha,beta_value,beta_stay,beta_side
36,male,0.59±0.002,1.37±0.06,0.32±0.04,-0.07±0.06
37,male,0.62±0.004,1.42±0.07,0.34±0.04,0.05±0.04
38,male,0.60±0.002,1.09±0.07,0.64±0.05,-0.01±0.05
39,male,0.73±0.009,2.51±0.17,0.29±0.05,0.09±0.03
40,male,0.66±0.024,1.24±0.12,0.42±0.16,-0.29±0.18
41,male,0.52±0.000,1.31±0.11,0.26±0.08,0.34±0.10
42,male,0.69±0.011,1.88±0.14,0.32±0.08,0.45±0.08
43,male,0.59±0.005,1.52±0.15,0.41±0.16,-0.15±0.08
44,male,0.63±0.014,2.02±0.21,0.41±0.11,0.15±0.12
45,male,0.63±0.003,1.38±0.11,0.47±0.06,-0.24±0.04
46,male,0.52±0.000,1.34±0.06,-0.10±0.06,0.46±0.08
47,male,0.70±0.009,2.01±0.14,0.36±0.07,0.06±0.08
48,male,0.62±0.008,1.63±0.09,0.31±0.03,0.24±0.04
49,male,0.63±0.008,1.47±0.13,0.42±0.07,0.16±0.07
50,male,0.61±0.005,1.56±0.14,0.84±0.07,-0.18±0.06
51,male,0.72±0.007,1.90±0.12,0.56±0.05,-0.27±0.06
52,male,0.76±0.012,2.07±0.12,0.52±0.07,0.23±0.05
53,male,0.67±0.005,1.61±0.08,0.37±0.04,-0.06±0.03
54,male,0.73±0.011,2.04±0.15,0.50±0.06,-0.18±0.06
55,male,0.60±0.008,2.01±0.15,0.19±0.05,-0.17±0.07
56,male,0.68±0.009,2.00±0.06,0.48±0.05,-0.02±0.05
57,male,0.78±0.010,2.34±0.16,0.17±0.06,0.17±0.07
58,male,0.66±0.008,1.81±0.07,0.43±0.06,0.19±0.05
59,male,0.65±0.007,1.58±0.12,0.35±0.07,-0.17±0.06
60,male,0.67±0.006,1.85±0.11,0.63±0.05,0.05±0.06
61,male,0.65±0.007,1.66±0.10,0.41±0.06,0.10±0.06
62,male,0.73±0.013,2.71±0.17,0.40±0.09,-0.42±0.08
63,male,0.67±0.009,2.06±0.11,0.20±0.08,0.04±0.07
64,male,0.73±0.008,1.99±0.13,0.29±0.05,-0.03±0.06
65,male,0.70±0.006,2.21±0.13,0.41±0.06,-0.27±0.05
66,male,0.66±0.009,1.58±0.12,0.30±0.07,-0.05±0.05
67,male,0.74±0.007,3.43±0.15,-0.02±0.04,-0.71±0.07
68,male,0.70±0.009,2.54±0.16,0.13±0.05,0.01±0.04
69,male,0.71±0.006,2.13±0.13,0.39±0.05,-0.21±0.04
70,male,0.68±0.012,2.47±0.21,0.09±0.08,0.09±0.06
71,male,0.64±0.007,2.07±0.11,0.39±0.05,-0.13±0.05
72,male,0.64±0.008,2.35±0.10,0.25±0.04,0.28±0.05
