,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
betam,1.5457587524829486,0.0009075408277668416,0.03668753600190015,1.4703620825257648,1.5217885222106176,1.5460750898154445,1.5687312988994695,1.616882227369652,1634.198267766346,0.9993872224191074
betasd,0.35169079541927417,0.0008292493139856617,0.02781801862451791,0.3006340179185174,0.3324216476206339,0.3496047602107445,0.3688331442167285,0.41229565481697295,1125.3358261749115,1.000853986565756
beta_sd_m,0.6485975420393332,0.0005785385581134273,0.021268122517564964,0.6072960390590063,0.6339684642423691,0.6486855069156047,0.6628746193190981,0.6911744401088695,1351.4304160517995,0.9989752997403344
beta_sd_sd,0.19171875165116395,0.0005377393443943757,0.01688115152835402,0.16102947451764785,0.1800092790350195,0.19069201032244895,0.2020794520709141,0.22760034157735365,985.5088069519287,0.9996331423851894
alpham,0.4124700277995525,0.0005061988505541134,0.01848315150743161,0.3786432659970609,0.3996240837997127,0.41197260862432494,0.42497111361064654,0.44778734041197743,1333.2443061236108,0.9989295935568254
alphasd,0.17378159615213318,0.00046557007052046886,0.013473717534328453,0.14894142569333155,0.1643752893799064,0.1730740501288029,0.18244471804665513,0.20292204839615813,837.5384804423386,1.0021635076506863
alpha_sd_m,0.17340624922851144,0.0005779181172800613,0.009559243408803021,0.15537728678151327,0.16671391749141337,0.17321221256671723,0.17995909991817843,0.1917530081867038,273.5989470083136,1.004488742419883
alpha_sd_sd,0.08100117912829599,0.0005681451631491695,0.007366723261440817,0.06753842648298992,0.07580156832640254,0.08086163672184227,0.08608289122997559,0.09556122130541579,168.1241429631838,1.0076464517277752
staym,0.352275191339597,0.00037976275510253536,0.016624208434065587,0.319331848374745,0.3412386022041324,0.35192465647002896,0.3636157579377245,0.38515589841971815,1916.2722563780214,0.9999249828320482
staysd,0.1548281399181162,0.0004532815209510077,0.013356764719295595,0.1300183520992018,0.1457472633611599,0.1540827873157713,0.16367858347881392,0.1810248575580276,868.2934460820213,0.9997684284745201
stay_sd_m,0.3407542395193427,0.00025101428497308667,0.009344808819717014,0.3220878560472489,0.3343676746017077,0.34066207264856474,0.3472052646247439,0.3589206336914117,1385.938524004366,0.9987563392717504
stay_sd_sd,0.08360806063017796,0.0002526315838936638,0.00807042373228819,0.06872250007060896,0.07772635228985697,0.08330741512367718,0.08895835885884244,0.10017135083638833,1020.5102837341532,1.0020768149964894
