,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
betam,1.5453902599887686,0.0009598534701705699,0.03637569017681372,1.4768079629993585,1.520095349231282,1.5458272898474428,1.5702515826190018,1.6183215290225825,1436.1923388004138,0.9991573466483856
betasd,0.3505940042536562,0.001179507918367997,0.02957813072987245,0.3022891536912613,0.33000145838913963,0.347715970667128,0.3676535473772332,0.4160142305129396,628.8393739760924,0.99941947549255
beta_sd_m,0.6492083136393104,0.0005883449153583013,0.02091370611807027,0.6064845075302556,0.6345845900688718,0.6493798200675092,0.6636772105909782,0.6900845838776353,1263.5661789484857,0.9987190275269042
beta_sd_sd,0.19082148791283243,0.0006594859658733542,0.017472020050209473,0.1598576311547818,0.17865201814531984,0.18983874442711854,0.2018831906230292,0.23044088100269203,701.8998066358665,0.9987582799050283
alpham,0.41184177304376224,0.0006981136699539443,0.018884447192418375,0.37585593034005144,0.3985509144180987,0.41246650725272793,0.4241075765147056,0.44935267910011795,731.739110442788,0.99994683859444
alphasd,0.1754760310653572,0.0007440585045304675,0.013236661594234384,0.15185177754794504,0.16642385331131865,0.17496952007541194,0.184643231182939,0.203305625345547,316.47744359004037,1.010746932675522
alpha_sd_m,0.1722239848263478,0.0006575849509199601,0.009450092607082992,0.1540936278128598,0.16577413680234943,0.17181799137126047,0.1785101970253013,0.19161067465431686,206.52298692008594,1.0276470133774802
alpha_sd_sd,0.08161582999878364,0.0014599226423749547,0.008299182025651329,0.06659326143965211,0.07552420132681552,0.08152442170506406,0.0869684752537635,0.0987991400417296,32.315500874779076,1.053609057252137
staym,0.3516299800006163,0.0005680185393236815,0.016999495286520006,0.3181542654508136,0.34096509141010445,0.3509093233933338,0.363315155837688,0.3856503168928215,895.6679488195073,1.0007659368954118
staysd,0.1557603709482008,0.0005496503928531782,0.013400240715427473,0.13280716581960328,0.14634252120350064,0.15497320304146806,0.16394922340363105,0.18428390086821042,594.3634766161629,1.0002694623292132
stay_sd_m,0.3404626214968002,0.00040374729937529575,0.009763966901814818,0.3220249915565356,0.3337045713256091,0.34031417501747574,0.3470370890885287,0.35898100620879436,584.8349742031708,0.998775710871468
stay_sd_sd,0.08358437331325838,0.0003849838190429478,0.007918686952858108,0.07065203837086596,0.07779760076865369,0.08312673111599533,0.08818007797564474,0.1011069879040048,423.0789288548892,0.999582912615246
sidem,0.01940938382940232,0.0005768311785667373,0.01989472751900012,-0.02134582275679431,0.007154767267407622,0.01998238817484242,0.031384781338477205,0.058328861886094784,1189.5385952656832,0.9993105146422564
sidesd,0.20299604144390718,0.0006160921267391555,0.0167381940401612,0.17385518885080714,0.19046247724268855,0.20162663311672652,0.21456100757804822,0.23866637431916898,738.1181400406152,0.9990784577423942
side_sd_m,0.3255105377004927,0.00033398383448003443,0.009538572983816405,0.30683363786755297,0.31882909985174884,0.32512401053764417,0.3318484260338167,0.34534144786619175,815.6726886128065,0.9989508530744321
side_sd_sd,0.0814667026723139,0.00030497414930913543,0.007459905246928689,0.06852981249426546,0.07622968174598849,0.08097976997197509,0.08638254318125942,0.09684861956342163,598.3297060729714,0.9992957058061798
beta_mice_m[1],1.2953532759549478,0.0026430117151394423,0.07078483717366213,1.1636044180734386,1.2455359916994009,1.2956077358414175,1.343516085141697,1.4396701568963446,717.2693918195059,1.0017552960959097
beta_mice_m[2],1.3070742845130678,0.0027962063965221514,0.07617224720068906,1.166446922886255,1.2571587479280595,1.3077141157072236,1.352269815873153,1.4612282975090534,742.0874493451543,0.9991554319222465
beta_mice_m[3],1.0226954311799523,0.0026894025174132702,0.07666577496641587,0.8663748060034021,0.9717510327298003,1.0243717709258258,1.0785353482726934,1.167091760689994,812.6273705849009,0.9986957022401513
