name,est,tstat,pvals,ci1,ci2
Name,β±standard error,"t-stat(1,100)",p-value,lower,upper
(Intercept),-0.786±0.13,"-6.24",1.04e-08,-1.04,-0.54
Sex_0,0.478±0.13,"3.79",2.54e-04,0.23,0.73
Opsin_0,0.175±0.13,"1.39",0.17,-0.07,0.43
Value_1,-0.347±0.41,"-0.84",0.40,-1.17,0.47
Value_2,-0.258±0.34,"-0.75",0.45,-0.94,0.42
Value_3,0.345±0.20,"1.71",0.09,-0.06,0.75
Sex_0:Opsin_0,-0.270±0.13,"-2.14",0.03,-0.52,-0.02
Sex_0:Value_1,0.369±0.41,"0.89",0.38,-0.45,1.19
Sex_0:Value_2,0.559±0.34,"1.63",0.11,-0.12,1.24
Sex_0:Value_3,-0.832±0.20,"-4.11",7.99e-05,-1.23,-0.43
Opsin_0:Value_1,-0.291±0.41,"-0.70",0.48,-1.11,0.53
Opsin_0:Value_2,0.243±0.34,"0.71",0.48,-0.44,0.92
Opsin_0:Value_3,0.166±0.20,"0.82",0.41,-0.23,0.57
Sex_0:Opsin_0:Value_1,-0.204±0.41,"-0.49",0.62,-1.03,0.62
Sex_0:Opsin_0:Value_2,0.055±0.34,"0.16",0.87,-0.63,0.74
Sex_0:Opsin_0:Value_3,-0.318±0.20,"-1.57",0.12,-0.72,0.08
