Animal,Sex,Cell ,Cell Pair,MSN type,EPSC,
1,Male,101,101,1,-90.23,
1,Male,102,101,2,-141.75,
1,Male,103,102,2,-212.44,
1,Male,104,103,1,-330.59,
1,Male,105,103,2,-136.03,
1,Male,106,102,1,-79.43,
1,Male,107,104,1,-232.83,
1,Male,108,104,2,-530.79,
2,Female,201,201,2,-449.27,
2,Female,202,201,1,-532.86,
2,Female,203,202,2,-554.16,
2,Female,204,202,1,-496.58,
2,Female,205,203,1,-520.61,
2,Female,206,203,2,-127.65,
3,Female,303,302,1,-30.73,
3,Female,304,302,2,-29.51,
3,Female,305,303,2,-43.80,
3,Female,306,303,1,-73.29,
4,Female,401,401,2,-626.90,
4,Female,402,401,1,-231.26,
4,Female,403,402,1,-241.56,
4,Female,404,402,2,-222.77,
4,Female,405,403,1,-151.68,
4,Female,406,403,2,-127.40,
4,Female,407,404,1,-257.99,
4,Female,408,404,2,-107.68,
5,Male,501,501,1,-262.48,
5,Male,502,501,2,-989.19,
5,Male,503,502,2,-350.13,
5,Male,504,502,1,-175.58,
5,Male,505,503,1,-355.78,
5,Male,506,503,2,-798.78,
6,Male,601,601,1,-272.31,
6,Male,602,601,2,-126.54,
6,Male,603,602,2,-116.90,
6,Male,604,602,1,-227.80,
6,Male,605,603,2,-215.60,
6,Male,606,603,1,-227.11,
7,Male,707,703,2,-308.37,
7,Male,708,703,1,-333.74,
8,Male,801,801,1,-276.84,
8,Male,802,801,2,-286.57,
8,Male,803,802,2,-326.42,
8,Male,804,802,1,-126.75,
8,Male,805,803,2,-124.83,
8,Male,806,803,1,-121.40,
9,Male,901,901,1,-126.02,
9,Male,902,901,2,-78.14,
9,Male,905,903,2,-581.79,
9,Male,906,903,1,-208.15,
